//Information about sprites is stored here.
//Format: sprite origin sheetsize
//Example: player bottommiddle 5x1
//All parts but the sprite name are optional.
//Default: <name> middle 1x1
//For a sprite strip, the sheet size can be a single number.
//Example: player bottomcenter 3
tempplayer middle 4x1
foreground* topleft 1x1
connection* topleft 1x1
background* topleft 1x1
RobotSpriteBody 0.5x0.9 1x1
RobotSpriteHead 0.5x0.95 1x1
RobotSpriteLLeg1 0.5x0.1 1x1
RobotSpriteRLeg1 0.5x0.1 1x1
RobotSpriteLLeg2 0.5x0.1 1x1
RobotSpriteRLeg2 0.5x0.1 1x1
RobotSpriteLFoot 0.1x0.5 1x1
RobotSpriteRFoot 0.1x0.5 1x1
RobotSpriteRArm1 0.9x0.5 1x1
RobotSpriteRArm2 0.9x0.5 1x1
RobotSpriteRHand 0.9x0.5 1x1
RobotSpriteLArm1 0.1x0.5 1x1
RobotSpriteLArm2 0.2x0.8 1x1
RobotSpriteLHand 0.1x0.5 1x1
gun 0.175x0.5 1x1
